127.0.0.1 - - [01/Nov/2022:14:01:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:00:23 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:00:23 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:01:29 +0530] "GET /JAVA_jsp/ HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:01:29 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:01:29 +0530] "GET /JAVA_jsp/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:01:30 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:01:35 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:01:35 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:01:56 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:03:04 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:03:04 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:03:07 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:03:07 +0530] "GET /JAVA_jsp/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:03:08 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:03:08 +0530] "GET /JAVA_jsp/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:04:12 +0530] "GET /JAVA_jsp/ HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:04:12 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:04:12 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 200 11767
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:04:12 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 200 333792
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:04:12 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 200 1807809
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:04:33 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:04:34 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:13:27 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:13:27 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:13:29 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:13:29 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:13:29 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:13:29 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:13:29 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:18:15 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:18:15 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:18:15 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:18:15 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:18:15 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 200 559027
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:00 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:00 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:00 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:00 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:02 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:03 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:03 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:54 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:54 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:54 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:57 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:58 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:22:59 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:23:47 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:23:47 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:23:48 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:23:48 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:24:08 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:24:08 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 200 11297
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:24:11 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:27 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:27 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:27 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:27 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:27 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:30 +0530] "GET /JAVA_jsp/ HTTP/1.1" 200 2541
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:30 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:30 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:30 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:32 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:36 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:25:36 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:26:01 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:26:01 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:26:03 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:26:36 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:26:36 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:26:36 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:26:38 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:26:57 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:00 +0530] "GET /JAVA_jsp/ HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:00 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:00 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:00 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:00 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:00 +0530] "GET /JAVA_jsp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:03 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:05 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:27:05 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:28:44 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:28:44 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:28:44 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:28:44 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:28:44 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:28:44 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:29:12 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:29:12 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:29:13 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:29:14 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:29:26 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:29:30 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:29:30 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:28 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:28 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:28 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:28 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:28 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:28 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:29 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:29 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:30 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:31 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:33:31 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:31 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:31 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:31 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:31 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:31 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:31 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:33 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:33 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:43 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:43 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:38:59 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:39:02 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:39:25 +0530] "GET /JAVA_jsp/admin.html HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:39:25 +0530] "GET /JAVA_jsp/admin.css HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:36 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:36 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:36 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:36 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:36 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:36 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:42 +0530] "GET /JAVA_jsp/student%20log%20in.html HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:42 +0530] "GET /JAVA_jsp/student%20login.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:45 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:43:45 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:44:24 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:44:24 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:22 +0530] "GET /JAVA_jsp/student.html HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:22 +0530] "GET /JAVA_jsp/student.css HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:27 +0530] "GET /JAVA_jsp/student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:27 +0530] "GET /JAVA_jsp/student.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:50 +0530] "GET /JAVA_jsp/student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:50 +0530] "GET /JAVA_jsp/student.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:50 +0530] "GET /JAVA_jsp/student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:51 +0530] "GET /JAVA_jsp/student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:51 +0530] "GET /JAVA_jsp/student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:53 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:53 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:53 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:53 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:53 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:53 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:53 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:54 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:54 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:56 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:53:56 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:54:12 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:54:14 +0530] "GET /JAVA_jsp/login.html?userName=&password= HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:55:23 +0530] "GET /JAVA_jsp/admin.html HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [01/Nov/2022:15:55:23 +0530] "GET /JAVA_jsp/admin.css HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:12:48 +0530] "GET /JAVA_jsp/error.html HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:12:48 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:12:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:13:35 +0530] "GET /JAVA_jsp/error.html HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:15:43 +0530] "GET /JAVA_jsp/error.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:15:46 +0530] "GET /JAVA_jsp/error.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:16:32 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:16:36 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:16:57 +0530] "GET /JAVA_jsp/error.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:17:25 +0530] "GET /JAVA_jsp/error.html?username=shinu&password=shinu HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:17:26 +0530] "GET /JAVA_jsp/error.html?username=&password= HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:08 +0530] "GET /JAVA_jsp/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:08 +0530] "GET /JAVA_jsp/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:08 +0530] "GET /JAVA_jsp/IMAGES/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:08 +0530] "GET /JAVA_jsp/IMAGES/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:08 +0530] "GET /JAVA_jsp/IMAGES/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:08 +0530] "GET /JAVA_jsp/IMAGES/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:15 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:21 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:24 +0530] "GET /JAVA_jsp/student%20log%20in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:20:24 +0530] "GET /JAVA_jsp/student%20login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:21:22 +0530] "GET /JAVA_jsp/login.html HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:21:22 +0530] "GET /JAVA_jsp/login.css HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:21:37 +0530] "GET /JAVA_jsp/login.html?username=shinu&password=shinu HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [01/Nov/2022:16:21:38 +0530] "GET /JAVA_jsp/login.html?username=&password= HTTP/1.1" 200 1791
